alienacao_fiduciaria;avaliacao;bairro;categorias;cidade;construida;data;descricao;endereco;forma_pagamento;lance_inicial;lance_minimo;leilao;local_leilao;local_lote;lote;privativa;terreno;tipo;titulo;url;vistoria
;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Alienação Fiduciária - 1ª Praça;-;SETOR 03;Categorias:Imóveis;ARIQUEMES / RO;200 m²;"Data:11/01/2018 - 14:00h";1º Leilão na forma da Lei 9.514/97. Ariquemes/RO. Bairro Setor 03.  Alameda Brasília, 2.908 (lt. 04 da qd. Comercial). Bloco H. Imóvel  Comercial. Áreas totais: terr. 560,00m² e constr. estimada no local200,00m². Matr. 18.625 do 1º RI local. Obs.: Construção e atualização de  numeração predial pendente de averbação. Regularização e  encargos perante os órgãos competentes, correrão por conta do  comprador. Ocupada (AF).  1º Leilão: 11/01/2018 às 14h. Lance mínimo: R$ 646.571,68  2º Leilão: 18/01/2018 às 14h. Lance mínimo: R$ 118.771,01 (caso  não seja arrematado no 1º leilão).;ALAMEDA BRASÍLIA, 2.908 (LT. 04 DA QD. COMERCIAL);À vista;R$ 646.571,68;R$  646.572;Leilão:15097- BANCO BRADESCO S.A;Local do leilão:  Rod. Presidente Dutra, Km 224 - Guarulhos/SP;Local do lote: ALAMEDA BRASÍLIA, 2.908 (LT. 04 DA QD. COMERCIAL);Lote:036 - (24130);-;560 m²;Imóvel comercial;15097 - 036 - Imóvel comercial - SETOR 03 - ARIQUEMES - RO;http://www.sodresantoro.com.br/leilao/15097/lote/1782372/segmento/imoveis/pagina/4/;24130
;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Alienação Fiduciária - 1ª Praça;-;IPANEMA;Categorias:Imóveis;PORTO ALEGRE / RS;156 m²;"Data:11/01/2018 - 14:00h";1º Leilão na forma da Lei 9.514/97. Porto Alegre/RS. Bairro Ipanema.  Rua Edilson João Prola, 22 (lt. 12 A da qd. B). Loteamento Jardim Dona  Déa. Casa. Áreas totais: terr. 150,00m² e constr. 156,38m². Matr. 140.930do 3º RI local. Obs.: Ocupado (AF).  1º Leilão: 11/01/2018 às 14h. Lance mínimo: R$ 595.452,40  2º Leilão: 18/01/2018 às 14h. Lance mínimo: R$ 265.800,00 (caso  não seja arrematado no 1º leilão).;RUA EDILSON JOÃO PROLA, 22 (LT. 12 A DA QD. B);À vista;R$ 595.452,40;R$  595.452;Leilão:15097- BANCO BRADESCO S.A;Local do leilão:  Rod. Presidente Dutra, Km 224 - Guarulhos/SP;Local do lote: RUA EDILSON JOÃO PROLA, 22 (LT. 12 A DA QD. B);Lote:035 - (24129);-;150 m²;Casa;15097 - 035 - Casa - IPANEMA - PORTO ALEGRE - RS;http://www.sodresantoro.com.br/leilao/15097/lote/1782371/segmento/imoveis/pagina/4/;24129
;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Alienação Fiduciária - 1ª Praça;R$  179.167;CARAPICUÍBA;Categorias:Imóveis;OSASCO / SP;-;"Data:28/12/2017 - 09:30h";"1º Leilão na forma da Lei 9.514/97 - Osasco - SP. Bairro Carapicuíba.  Rua Pernambucana, 200.Condomínio Nova Conceição I, situado no  lugar denominado Fazenda dos Andradas. Bl 03. Ap. 54 (5º pav. ou 4ºandar), c/ direito ao uso de uma vaga de garagem para veículo de  passeio de pequeno e médio porte, descoberta e indeterminada. Área  Priv.44,100m². Matr. 89.757 do 1º RI local. Obs.: Consta na Av. 1 da  citada matrícula, nos fundos do terreno do condomínio, uma faixa  on aedificandi com área de 671,93m². Consta ainda, na Av. 2,  servidão de passagem perpétua e gratuita a favor de  ELETROPAULO METROPOLITANA ELETRICIDADE DE SÃO PAULO  S.A. Ocupado (AF).    1º Leilão: 28/12/2017 às 9h30. Lance mínimo: R$ 179.166,67.  2º Leilão: 11/01/2018, às 9h30. Lance mínimo: R$ 153.941,57.  (caso não seja arrematado no 1º leilão).";RUA PERNAMBUCANA, 200;Boleto Bancário;R$ 179.166,67;-;Leilão:15138- PRIMO ROSSI;Local do leilão:  Rod. Presidente Dutra, Km 224 - Guarulhos/SP;Local do lote: RUA PERNAMBUCANA, 200;Lote:001 - (24109);44 m²;-;Apartamento;15138 - 001 - Apartamento - CARAPICUÍBA - OSASCO - SP;http://www.sodresantoro.com.br/leilao/15138/lote/1779196/segmento/imoveis/pagina/1/;24109
;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Alienação Fiduciária - 1ª Praça;-;PQ. RESID. SANTA CRUZ;Categorias:Imóveis;CUIABÁ / MT;-;"Data:11/01/2018 - 14:00h";"1º Leilão na forma da Lei 9.514/97. Cuiabá-MT. Parque Residencial  Santa Cruz. Rua Padre Antônio Vieira,95 (antiga Rua 05). Distrito de  Coxipó da Ponte. Casa (remanescente do lt. 21 da qd. 2). Áreas totais:terr. 180,00m² e constr. 184,14m². Matr. 114.378 do 6º RI local. Obs.:  Ocupada (AF).   	 1º Leilão: 11/01/2018 às 14h. Lance mínimo: R$ 490.934,00  2º Leilão: 18/01/2018 às 14h. Lance mínimo: R$ 342.512,35 (caso  não seja arrematado no 1º leilão).";RUA PADRE ANTÔNIO VIEIRA,95 (ANTIGA RUA 05).;À vista;R$ 490.934;R$  490.934;Leilão:15097- BANCO BRADESCO S.A;Local do leilão:  Rod. Presidente Dutra, Km 224 - Guarulhos/SP;Local do lote: RUA PADRE ANTÔNIO VIEIRA,95 (ANTIGA RUA 05).;Lote:032 - (24126);-;180 m²;Casa;15097 - 032 - Casa - PQ. RESID. SANTA CRUZ - CUIABÁ - MT;http://www.sodresantoro.com.br/leilao/15097/lote/1782113/segmento/imoveis/pagina/4/;24126
;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Alienação Fiduciária - 1ª Praça;-;COSTEIRA;Categorias:Imóveis;SÃO JOSÉ DOS PINHAIS / PR;70 m²;"Data:11/01/2018 - 14:00h";1º Leilão na forma da Lei 9.514/97. São José dos Pinhais-PR. Bairro  Costeira. Rua Jorge Guimarães de Camargo, 366 (lt. 2B da qd.3 -  Moradias Xingú). Condomínio Residencial Dona Margarida. Casa 02.Áreas totais: terr. 140,54m² e constr. 70,54m². Matr. 87.596 do 1º RI local.  Obs.: Consta ação ordinária, processo nº 0022761.06.2017.8.16.0035,  em trâmite perante a 02ª Vara Cível da Comarca de São José dos  Pinhais/PR. O Vendedor responde pelo resultado da ação, de acordo  com os critérios e limites estabelecidos nas Condições de Venda dos  Imóveis constantes do edital. Ocupada (AF).  1º Leilão: 11/01/2018 às 14h. Lance mínimo: R$ 252.696,50                             2º Leilão: 18/01/2018 às 14h. Lance mínimo: R$ 183.173,91 (caso  não seja arrematado no 1º leilão);RUA JORGE GUIMARÃES DE CAMARGO, 366 (LT. 2B DA QD.3 - MORADIAS X;À vista;R$ 252.696,50;R$  252.697;Leilão:15097- BANCO BRADESCO S.A;Local do leilão:  Rod. Presidente Dutra, Km 224 - Guarulhos/SP;Local do lote: RUA JORGE GUIMARÃES DE CAMARGO, 366 (LT. 2B DA QD.3 - MORADIAS X;Lote:031 - (24125);-;140 m²;Casa;15097 - 031 - Casa - COSTEIRA - SÃO JOSÉ DOS PINHAIS - PR;http://www.sodresantoro.com.br/leilao/15097/lote/1782093/segmento/imoveis/pagina/4/;24125
